228_ 11	positive	since batteries do run out on everything , this will also be a big money-saver since ipods , irivers , rca , dell , all have built-in batteries that need to be replaced by a technician ( apple charges 100 bones for the battery replacement ) .
151_ 5	neutral	with the nomad explorer software , songs should be drag-and-drop .
214_ 0	negative	i will never buy a creative product again .
305_ 8	neutral	a great deal in general !
215_ 19	neutral	i have it connected to speakers for a nice musical alarm in the morning .
237_ 0	neutral	i am a soldier serving in baghdad right now .
242_ 4	neutral	i 've had no problem with canon whatsoever .
208_ 26	negative	4 .the zen * stores * data files , but does not allow a folder structure nor does it allow documents to be opened or programs to be launched from its disk ( they must be copied to another hard drive to be launched ) .
162_ 25	neutral	rip your tunes at 192kb if you like , alhthough 128kb sounds just dandy , and you 'll get more tunes stored on it .
250_ 3	positive	the auto setting does a great job most of the time but there are manual settings for those who want them .
168_ 2	neutral	installed software .
155_ 8	positive	so easy to set up , had some problems with my archos .
292_ 5	positive	you can do * so * much more with the pc suite , i.e. free ringtones from midi files , free graphics from any picture on your computer , and if you know how to program jme you can even make your own apps / games .
186_ 33	neutral	i could crush this thing in half with two fingers if i wanted to .
186_ 37	neutral	i can 't simply bring up my entire list of songs , click play , and then hit next .
304_ 5	neutral	in all a winning combination .
208_ 52	neutral	and i am hoping the static i heard when using eax was a blip ...
167_ 7	neutral	i made an additional five attempts at creating a playlist , before packing the unit up and heading over to amazon 's product return page .
119_ 7	positive	4 . the shape of this device is a little squarer , without losing the weight which means better balance and less shaking while clicking .
215_ 1	neutral	pros :
125_ 1	neutral	i 've tried the sony s85 with the carl zeiss lens , but the pictures were too digital .
170_ 10	neutral	i have 100 of my cd 's transferred and have n't made a dent in the 30 gb drive .
227_ 46	neutral	2 .
309_ 16	negative	this model does have the traditional key arrangement , it 's just that they are really close to one another , and have unconventional shapes , so it takes a big getting used to for someone like me with big hands .
139_ 3	neutral	after about a minute of trying to tell me that most people use the lcd and not the view finder , they finally admitted , it was a design flaw in the camera .
127_ 4	neutral	forget the fact that it 'll probably take me a year to figure out all the features this camera has to offer .
128_ 4	positive	the g3 looks like a work of art !
185_ 5	neutral	transferred the zens new software onto it in about 10 seconds .
212_ 5	neutral	if the casing of the player is this bad , i can 't image that the hardware is of very good quality .
