242_ 27	neutral	If you max out the phone memory and have sent all you wish to a computer, there is a memory card w/ a good deal of storage as well.
317_ 0	neutral	While it has a rather effective firewall, and comes with Norton Antivirus (which I'm actually rather fond of), the Security Suite has significantly slowed down my system.
29_ 0	positive	I purchased this camera before it went on sale, and while I wouldn't have minded keeping the extra $$$, it was definitely worth it.
312_ 3	positive	Luckly,with 3 rebates this product will cost me nothing! it is indeed worth nothing.
274_ 3	positive	The good:  1) Large LCD screen, colorful display, good resolution.
132_ 415	negative	  And if you're a Mac user like me, they've naturally made sure you have no viable alternative.
68_ 9	positive	If you are looking for a user-friendly diaper pail that actually does keep the odor contained, than the diaper champ is the one for you!
79_ 10	neutral	The Champ also has hinges for you to place a new bag.
298_ 27	neutral	HMMMM.. Good luck.
0_ 27	neutral	The quality, detail and clarity is much better than the Sony in my opinion.
76_ 6	neutral	Once your child goes on to solid foods BEWARE!
74_ 2	negative	The opening could be a little wider, I suppose, but I haven't really seen anything else that could be improved.
207_ 23	negative	Yes, there is a belt clip, but that doesn't hold the extra battery and usb cable.
27_ 0	positive	If compact size is your highest priority in a 2-megapixel camera, the Canon PowerShot S100 Digital Elph is a standout choice and aptly named for its diminutive design.
0_ 176	neutral	Also make sure you pick up a good high speed SD card like the SanDisk Ultra 2.
0_ 186	positive	In low light with flash I found it clear better then the sony P200 (too much red, colours overall not as natural but fewer red-eyes).
5_ 2	neutral	I had a regular Canon Elph (APS), as well as a JVC digital camera.
132_ 51	neutral	How did we listen to music before it?
76_ 5	neutral	I still like it but don't think it rates the 5 stars I gave it but can't change that.
132_ 237	neutral	Perhaps over time I will fill it up, but with almost 250 songs on my iPod now and less than 1GB used, I have a long way to go.
132_ 78	neutral	I'd never had an MP3 player before, so this was a new one on me.
210_ 0	neutral	I bought this item in part due to the good reviews here on Amazon.
70_ 2	positive	It's easy to use (just a flip of the lid, and the diaper is gone!).
129_ 5	negative	It would work fine for a while then as the motor warmed up it would die.
0_ 90	neutral	i just thought it's cute and cool =)
225_ 6	neutral	I saw the Zen, and-BOOM-I bought one for me and one for a family member.
79_ 26	positive	Let the Champ win you over!
193_ 7	neutral	The player was large and bulky.
287_ 36	negative	As of October, 2004, these products are NOT working and I'm ready to demand a refund from Symantec.
149_ 5	neutral	Very disappointing.
119_ 8	positive	Enjoy.
290_ 5	positive	Norton's memory usage on systems with 512 MB is very low.
228_ 9	positive	It beats Apple on the storage space, it beats apple on the removable battery (and batter life), and I personally like its interface more than the Ipod scroll wheel.
0_ 213	positive	The camera responce is VERY quick.
293_ 2	negative	It is buggy, slow and basically frustrates the heck out of the user.
79_ 5	neutral	One pail that I used was so difficult to change the bag and insert the dirty diaper.
270_ 3	positive	The sound quality is excellent and the speaker phone couldn't be easier to use.
285_ 0	positive	I'm not sure why all the bad reviews, my computer isn't especially slowed down and I have Win'98.
