104_ 2	positive	excellent range of metering options as well .
104_ 3	positive	it 's great to switch to spot metering and actually see it working on the lcd screen .
104_ 4	positive	2 ) 4mp is about right for the target market of this camera ( semi-serious amateur photographer )
104_ 5	positive	3 ) 4x zoom is nice
104_ 6	neutral	4 ) the great thing about digital , in general , is that you can generally see the results of your exposure settings on the lcd screen before you take the picture , not two weeks later when you get the film developed .
104_ 7	positive	5 ) its focusing system is also very flexible .
104_ 8	positive	you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus .
104_ 9	neutral	negatives
104_ 10	negative	1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line )
104_ 11	negative	2 ) not very ergonomical - you 'll find even for a point-and-shoot lens )
104_ 12	negative	4 ) the viewfinder is borderuer lcd scoying .
105_ 0	positive	the camera has a wonderful set of features .
105_ 1	positive	the lcd screen pulls out and rotates in any direction for easy pictures .
105_ 2	neutral	you can even take a picture of yourself while looking at the lcd .
105_ 3	positive	the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry .
105_ 4	positive	the highest optical zoom pictures are perfect .
105_ 5	positive	i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased .
105_ 6	positive	the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use .
105_ 7	negative	the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) .
105_ 8	positive	the menus are easy to navigate and the buttons are easy to use .
105_ 9	positive	it is a fantastic camera and well worth the price .
106_ 0	positive	recent price drops have made the g3 the best bargain in digital cameras currently available .
106_ 1	positive	advanced photobugs will find more creative control than imaginable .
106_ 2	positive	newbies will find the full auto setting will give them perfect pictures right out of the box .
106_ 3	positive	4 megapixels is enough for anybody and the photo quality is awesome .
106_ 4	neutral	do n't get fooled by the 5 megapixel marketing hype .
106_ 5	neutral	unless you want to print murals , you do n't need it .
106_ 6	positive	those used to 35mm cameras will find the g3 very comfortable and friendly to use .
106_ 7	neutral	anyone looking for more than "" point and shoot "" can make a huge step up for a moderate price difference .
106_ 8	positive	the extended zoom range and faster lense put it at the top of it 's class .
106_ 9	neutral	i expect the g3 will please me for years to come .
107_ 0	positive	i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period !
107_ 1	positive	it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user-friendly and it is beautiful in it chrome casing .
107_ 2	positive	i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode .
107_ 3	neutral	absolutely breathtaking .
107_ 4	neutral	i was considering the olympus camedia c-5050 but was convinced to buy the g3 after visiting a store and holding it in my hands and trying it out .
107_ 5	neutral	the olympus is a bit clumsy-looking and the user-interface not as friendly as the canon , but one of the features that sold me on the g3 was the battery life - no other camera out there gives you the type of battery life as the canon g3 .
107_ 6	neutral	i would recommend a larger compact-flash card , at least 128 mb .
107_ 7	neutral	i bought a 512 mb card by simpletech and it works great with my canon .
108_ 0	neutral	what else can you say about a camera that works for both of you ?
108_ 1	neutral	i make photographs at work , and so wanted a camera good enough to compare with what i use professionally .
108_ 2	neutral	at the same time , i wanted my wife to not be intimidated by knobs and buttons .
108_ 3	neutral	i recieved the camera , inserted a larger cf card , charged the battery , and handed it to my wife .
108_ 4	neutral	i showed her how to turn it on , where the lens zoom lever is , and she loves it !
108_ 5	positive	this camera has canon 's great colorimetry , plus what you see in the lcd is what you get .
108_ 6	positive	the prints are beautiful !
108_ 7	neutral	and you get about 120 images on a 256mb card at highest quality .
108_ 8	neutral	i tried out some other brands in the stores , and was disappointed by the battery life of the other company ; plus what you see in the lcd ( no optical finder ) is n't what you get - not even for color ; the output was less than i expected .
108_ 9	positive	although canon 's batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff charger and spare batteries right here on amazon .
109_ 0	positive	this is a great camera for you !
109_ 1	positive	the canon g3 gives tons of control for photo buffs but still has an "" auto "" mode that makes it very easy for the novice to use .
109_ 2	neutral	i can hand this to anyone and know they will take some great photos !
109_ 3	positive	i love having the option to manually control the f-stop , shutter speed and even focus .
109_ 4	positive	i was able to take great photos of the 4th of july fire works , and got some amazing shots of the kids playing with sparklers .
109_ 5	neutral	warning - i did read the manual !
109_ 6	positive	but if you 've used a slr 35mm camera , the controls are very intuitive !
109_ 7	neutral	once i read the manual i was able to point and shoot without having to fumble around trying to figure out where the controls are located .
109_ 8	positive	with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture priority ( for focal length ) or full program mode where the camera selects both for ideal photo quality .
109_ 9	positive	the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options .
109_ 10	neutral	it does n't do you any good if a camera has all the features but you can 't access them quickly when you need them !
109_ 11	positive	this camera also has a great feel and weight to it .
109_ 12	positive	you feel like you are holding something of substance , not some cheap plastic toy .
109_ 13	positive	the more i work with it , the more i love it !
109_ 14	neutral	i would recomend that you purchase a lexar media cf for the camera as the sandisk card that comes packaged is too small and too slow !
109_ 15	positive	i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase !
110_ 0	positive	this is my first digital camera , and i am very pleased with it .
110_ 1	neutral	i do not know a whole lot about photography , but i am happy to know that this camera can always perform , even as i grow in skill and knowledge .
110_ 2	positive	seriously , this thing has everything that a pro or expert amateur could want .
110_ 3	positive	but at the same time , it takes wonderful pictures very easily in "" auto "" mode , so that even an average joe like me can use it !
110_ 4	positive	four megapixels is great .
110_ 5	neutral	i know there are five mp cameras out there , but this thing does just fine for me .
110_ 6	neutral	if you want , check out the canon website and they have some sample images , taken by this camera , for you to download .
110_ 7	neutral	if you are looking for a very simple point and shoot camera , this is probably not what you are looking for .
110_ 8	neutral	if you are looking for an outstanding camera that can take you from simple to complex , this is it .
110_ 9	positive	it is a very amazing product .
110_ 10	positive	i highly recommend it .
111_ 0	positive	just received this camera two days ago and already love the features it has .
111_ 1	positive	takes excellent photos .
111_ 2	positive	night mode is clear as day .
111_ 3	positive	i have not played with all the features yet , but the camera is easy to use once you get used to it .
111_ 4	negative	the only drawback is the viewfinder is slightly blocked by the lens .
111_ 5	neutral	however , using the lcd seems to eliminate this minor problem .
111_ 6	positive	overall it is the best camera on the market .
111_ 7	neutral	i give it 10 stars !
112_ 0	neutral	this camera has significantly more noise at iso 100 than the nikon 4500 .
113_ 0	neutral	i just bought the camera a few days ago .
113_ 1	neutral	before i "" get used to it "" , here are my first feelings :
113_ 2	positive	a ) the picture quality ( color and sharpness of focusing ) are so great , it completely eliminated my doubt about digital imaging --- how could one eat rice one grain at a time : - ) )
113_ 3	negative	b ) the lens cover is surely loose , i already accidently finger-printed the len a few times , and au lens tigt and cause potential damage .
113_ 4	neutral	i wish canon would work out some way for that issue .
113_ 5	negative	the zooming lever is shaky , i hope it does not operate mechanically , otherwise you 'll feel uneasy .
114_ 0	neutral	i bought this last week through amazon .
114_ 1	neutral	got a great deal from a reputable seller .
114_ 2	positive	i love this camera .
114_ 3	neutral	i am still trying to figure out the may options it has .
114_ 4	positive	took hundreds of pictures and they were great .
114_ 5	positive	great colors , pictures and white balance .
114_ 6	positive	has 4x optical zoom which is higher than any other in the same price range .
114_ 7	neutral	it is generally overpriced a little bit but you get what you are paying for .
115_ 0	negative	maybe it is my lack of experience , but i found shots with this camera very disappointing .
115_ 1	negative	it was ( i sold it after a few months ) too expensive for the shots that i got .
115_ 2	negative	sure it had all the features , but when i tried to shoot a girl 's basketball game it just wan't up to the task .
115_ 3	neutral	i do n't think i was asking too much .
115_ 4	neutral	any film zoom p and s would have given superior results with a minimal effort .
115_ 5	neutral	and with the 500 you save you could print the results for the life of the camera .
115_ 6	negative	i found that low light situations combined with any sort of action left this camera in the dust .
115_ 7	neutral	i wanted it to shoot concerts as well .
115_ 8	neutral	that meant even less light and just as much action .
115_ 9	neutral	sure , i adjusted the film speed to 400 .
115_ 10	negative	the grain was terrible .
115_ 11	neutral	next time i set it at 100 and used the flash .
115_ 12	negative	well flash photos are never great , and there was still a lot of noise .
115_ 13	positive	when i took outdoor photos with plenty of light and the objects were n't moving , the photos were awesome .
115_ 14	positive	the camera was a marvel .
115_ 15	neutral	getting the printer to help output them was another tale .
115_ 16	neutral	overall i think that you need to consider what you wan't to do .
115_ 17	neutral	for simple point and shoot photography , consider a cheaper digital .
115_ 18	neutral	you do n't need the extra resolution or the cost .
115_ 19	neutral	then again a one time use camera may do just as well .
115_ 20	neutral	if you shoot in lots of light and desire high quality , this will be your camera .
115_ 21	positive	it is versatile and seems to be one of the best .
115_ 22	neutral	me , i am going with a leica minilux ( the g3 was replacing mine which was stolen ) .
115_ 23	neutral	sure .
115_ 24	neutral	it is less versatile , but i am never disappointed with the output .
116_ 0	neutral	i am a long-time user of highly responsive film slrs and professional quality external flash equipment , just so you know my bias .
116_ 1	neutral	i have been watching the development of digicams for years , waiting to make my first move .
116_ 2	neutral	what i really want is a $ 1,500 digital slr with a full frame sensor that will take my nikon lenses .
116_ 3	neutral	i figure that is at least three years off , and i am getting impatient .
116_ 4	neutral	hence i decided to spring for a point-and-shoot digicam that that would have features that would let me get around their inherent limitations .
116_ 5	positive	i chose the g3 because of its reputation for very high quality , clean images .
116_ 6	negative	the two limitations i knew i would have to deal with are the very long lag time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash .
116_ 7	neutral	as of this writing , technology has not solved the focus-lock lag time problem for point-and-shoot digicams and anyone who is satisfied with it simply has never used a modern film slr .
116_ 8	neutral	at least once youve got focus lock , the shutter release lag time for the g3 is about 1/10 of a second , which from what ive read , is better than just about anything else available .
116_ 9	positive	what makes the focus-lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 .
116_ 10	neutral	once i get focus lock , i can then wait until my restless subject ( a pet or a child ) strikes an amusing pose and then fire the shutter with some reasonable probability of getting my subject still in focus .
116_ 11	neutral	now what about the flash problem ?
116_ 12	negative	relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots .
116_ 13	positive	fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct-4 .
