1266	negative	Guinea: Plan offices close as country declares emergency
1125	neutral	Bush officials: no big move in Iraq plan
1255	neutral	Vista's hyped security will be tested
931	neutral	TV game shows go interactive
1489	neutral	U.S. online love brokers eye China
972	neutral	Underarm bowls them over
1098	neutral	Goodbye to girlhood
1015	neutral	Baghdad plan is a success, Iraq prime minister tells Bush
1041	negative	Iran reneges on nuclear payments to Russia
1288	positive	On-the-job naps might cut heart risk
115	neutral	Britain to Limit Workers from Romania, Bulgaria
1136	negative	Punter charged with stabbing asks to live outside state
1420	neutral	Loving with all your ... brain
814	positive	Israel says hopes to keep Lebanon border calm
1355	positive	Singapore pampers its waterfront promenade
1033	positive	Pakistan-India peace talks planned despite bombings
940	negative	The amounts you have to pay for a bomb scare
889	negative	Ice storm brings chaos in U.S.
1036	neutral	Cheney starts visit to Japan, Australia
1412	neutral	Allen and Okur get All-Star call
853	positive	Action games improve eyesight
1493	neutral	Escape to Prague without the summer hordes
994	negative	Collision on icy road kills 7
793	neutral	Blair apologises over friendly fire inquest
13	neutral	United Finds Good Connection in Win
872	neutral	US to prod NATO allies for more troops to defeat Taliban
829	neutral	Far away, Super Bowl's losers will be champs
900	neutral	Carrefour sales growth falls short
1311	neutral	Court TV: Accused killer tells jury a love story
1381	negative	Al Qaeda group calls for attacks on U.S. oil
898	negative	Blair: Terror battle will be long
138	neutral	Rice, in Baghdad, Insists That Iraqis Are
76	positive	Active peace brings the promise of development
1481	negative	ROUNDUP: Protests erupt despite ""state of siege"" In Guinea
1459	negative	Ex-Border Patrol agent beaten in prison
1199	neutral	Judge: Preserve Anna Nicole's body
1088	neutral	Ready to eat chicken breasts recalled due to suspected listeria
912	negative	Italy's dispute with US over Iraq shooting
1262	neutral	Full details of the EU report on Iran
987	neutral	Italy to hold no-show trial of Bronx GI in Iraq slay
1032	negative	India decries 'an act of sabotage'
111	neutral	Dating difficult for Harry Potter
188	neutral	School ends football season after 0-4 start
47	negative	Deaths linked to flu vaccine
882	negative	Attack video saddens ""friendly fire"" widow
1141	neutral	Merriman violation stuns ex-teammate
201	neutral	Cher auction fetches double pre-sale estimates
871	negative	Human error caused Helios crash
1102	neutral	Thousands line up to get late flu shots
67	neutral	Vegetables May Boost Brain Power in Older Adults
175	neutral	Fitness: Bodies in Motion, Clean and Sober
1431	negative	Britons deported from Somalia held under Terrorism Act
812	negative	Justin Timberlake, Cameron Diaz announce split
43	neutral	A Picture and A Thousand Words
1442	neutral	The breast cancer breakthrough saving 1000 women a year
801	neutral	Rice: U.S. won't pull plug on Iraq
1334	neutral	Bernanke: Economy healthy, but...
1408	positive	Grammys ready to name winners
1414	negative	Trolley Square shooting leaves 6 dead, including gunman
1220	negative	Group: Video shows chopper go down
1077	neutral	Thai Govt moves to smooth over relations with south
961	positive	Harris haul puts South Africa on top
133	neutral	Google To Launch Yet Another Search Tool
208	neutral	Briton admits U.S. bomb plot role
1333	neutral	Hatton hands back IBF title again
1197	neutral	Create own 'Thrillville' for a wild ride
82	neutral	Breast Cancer Awareness is Important
55	neutral	Making peace from victory over poverty
1265	positive	Beckham goal helps Real snatch win
137	negative	U.S. Weighs Sanctions Against North Korea
1204	negative	Swiss plane crashes at Moscow airport
1472	neutral	Scientist snoops in astronauts' journals
202	neutral	Stars scuffle on 'Grey's Anatomy'
