174_ 4	neutral	i did have some problems figuring out how to turn the unit on , but creative did a good job with this , as they had a clearly labled "" on "" button that i found when i left my cellar for the first time in years .
254_ 10	positive	if you have to buy a camera on a buget, this has got to be the one .
148_ 0	neutral	this thing kicks mighty apple butt !
231_ 29	positive	overall , i 'm giving this 5 stars as i 've seen nothing of the problems people have repeatedly cried havoc over , but as i 've only had the player for a while i leave room for doubt if the headphone jack , hissing , or scroll wheel problems show up with me too .
136_ 14	neutral	based on my used , 1 full charge was enough for at least 255 shots .
273_ 8	positive	the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone , saved me hours of re-entering my numbers .
302_ 7	neutral	that said this phone does what it does extremely well - way better than anything motorola can produce .
224_ 24	negative	the scroll wheel is finicky ; it works most of the time but there is a learning curve for pressing it just right ; new users say they have 50 % - 75 % success rate ; some find it so frustrating that they just return the device .
191_ 16	neutral	the bottom line :
116_ 4	neutral	hence i decided to spring for a point-and-shoot digicam that that would have features that would let me get around their inherent limitations .
108_ 1	neutral	i make photographs at work , and so wanted a camera good enough to compare with what i use professionally .
187_ 4	positive	the buttons and interface are very easy to use .
191_ 11	neutral	2 . i do n't need the nomad at home for the same reason ( although using it to sync between the two pc 's might be a reason enough to get it . )
141_ 5	positive	all-in-all , i believe this is arguably the best non-slr digital camera on the market .
242_ 12	neutral	be very careful when the battery is low and make sure to carry extra batteries .
165_ 10	positive	when i played back a symphony orchestra you would swear that you were seated dead center in front of the orchestra - it 's that good !
256_ 8	neutral	i plan on buying a second battery and a larger cf for it .
162_ 11	neutral	i just put it on "" shuffle "" , sit back , and enjoy the eclectic mix that almost 3,000 tunes offer !
186_ 0	neutral	summary :
264_ 1	neutral	the nikon coolpix 4300 deserves six .
260_ 2	positive	i particularly like the "" txt "" file which records all the control information for all the pictures you take.
245_ 2	negative	also , the lens cap design is flawed .
115_ 24	neutral	it is less versatile , but i am never disappointed with the output .
277_ 2	neutral	at my heaviest usage , i must recharge after 3 days .
262_ 22	neutral	this provides added protection for the camera lens and allows the use of filters .
151_ 10	negative	the scroll button is overly sensitive at times ; not sensitive enough at others .
226_ 5	neutral	my friend has an i-pod for about 2 years and the battery has so so messed up .
159_ 14	positive	sound quality was the same between the two , but the zen did have more sound adjustments with the normal eax features .
238_ 0	neutral	i first bought a 6 gig nomad jukebox ( original ).
195_ 26	negative	other tagging problems result ( i think ) from the nomad 's operating system .
156_ 3	negative	also , the instruction manual is very bad .
165_ 7	neutral	just highlight the songs you want to transfer from your playlist or music library then click one button and it 's done !
114_ 3	neutral	i am still trying to figure out the may options it has .
271_ 3	positive	it 's size also makes it ideal for travel .
122_ 1	neutral	why ?
270_ 6	neutral	5 for "" digital film "" it uses compact flash cards , which are easy to find , cheap , reliable and supported by many other devices you may have at hoome .
282_ 36	positive	overall , i highly recommend this phone .
166_ 13	positive	- great value 40gb vs 10 gb ipod for the price
290_ 39	neutral	if t-mobile does not offer such a phone most likely i will get the t610 .
262_ 23	neutral	i leave the adapter and uv filter on all the time .
