non_fbis_20.43.13-27926-0	neutral	Fate of 'detainees' hangs on US wording
non_fbis_08.03.05-5625-11	positive	The French, who like the  United States are significant fund shareholders, have called on  the lending agency to step up its involvement to help Argentina  recover.
20020320_12.04.40-21590-23	positive	The majority report, endorsed only by the ANC, said the observer mission had noted that over three million Zimbabweans had cast their votes and this substantially represented the will of the people.
20011116_20.46.37-70-3	neutral	The number of full-time workers declined 626,000 to 6,525,000 during the same time span.
20020207_20.37.46-24515-8	neutral	The rate of using long-term contraceptive methods is higher among women with one son than women with one daughter.
non_fbis_08.14.55-18533-7	neutral	As workers prepared the camp in Cuba for as many as 2,000  prisoners, search crews in Pakistan continued to comb the  wreckage of a Marine Corps tanker plane that crashed on  Wednesday in southwestern Pakistan.
20020314_20.41.01-29272-12	positive	The South African government in a statement welcomes the fact that the actual elections and subsequent processes have proceeded without any significant conflict among the participants.
temp_fbis_20.55.24-19278-8	neutral	This must now be ratified by all the parties and will shortly enter into force.
non_fbis_08.01.38-4843-36	positive	"I am hopeful that we're in transition to a world in which  countries and lenders learn more about risk," said Allan H.  Meltzer of Carnegie Mellon University, who headed a  Congressional panel two years ago that advocated sweeping  changes at the I.M.F. and the World Bank.
20020202_20.37.52-21155-27	neutral	This is the understanding of sources very close to President Fernando Henrique Cardoso, and it is also guiding the analyses of the economic department.
20020201_20.41.37-18755-25	positive	In the wake of the Bush speech, the questions that arise are: How will the US administration reconcile between the domestic pressure to take action in the world on its own and other pressure to consult with its allies and friends in the world before embarking on any action?
20020205_20.21.49-25548-14	negative	The circumstance has led Bush to again adopt an aggressive policy.
20020306_15.20.41-10497-7	negative	Kong also warned Washington against double standards in the global war against terrorism.
non_fbis_12.22.33-10622-14	negative	"They stand with empty pockets  and their hands empty, out toward Alberta, and at the same time  they're criticizing Alberta."
non_fbis_08.09.29-13319-25	neutral	The text of the  speech said the resignation was to "assure the peace."
20020320_12.04.49-21742-40	neutral	But the solution to the present impasse lies with the people of Zimbabwe and Africa, not with the people of Britain and Europe.
20011113_20.27.12-885-26	neutral	Internal Discipline
20011221_20.56.01-12278-15	negative	Criticism of government
non_fbis_09.53.15-23595-14	negative	Film footage also caught armed supporters of Mr Chavez firing  indiscriminately at the marchers.
non_fbis_11.11.15-6639-14	negative	A strike this week by the country's trade unions  protesting the government's tactics reflects widespread disgust  with Mugabe.
20020204_20.38.59-25700-5	positive	His force of conviction when he preaches the struggle of good against evil largely explains his exceptional popularity ratings (83 percent of favorable opinions, according to the latest ABC and Washington Post surveys.)
20011220_21.22.09-18839-39	neutral	In January-October 2001, transportation enterprises hauled 632.5 million metric tons of freight, which was 1.1% more than during the first ten months of last year.
non_fbis_11.08.55-4179-29	neutral	On rare  occasions, Cuban defectors get there by swimming through  dangerous waters or by traversing a Cuban minefield.
non_fbis_12.44.14-20223-29	negative	White House spokesman Ken Lisaius rightly noted of the Club  Gitmo guests that, "for the most part, they're members of al  Qaeda and if they were free, they'd engage in murder once  again."
20020114_11.18.53-27931-14	neutral	Irabini said he explained to them that Misuari was being held for rebellion, and not because "he was a Muslim, a member of the Bangsamoro people or an MNLF leader."
20011024_18.09.35-13708-17	neutral	Asked why weapons of French origin were finding their way into Zimbabwe in an interview last month, Jerome Sautier, the first counsellor at the French embassy in Harare, and Lieutenant Colonel Dault, the defence attache, said France was not selling any arms to Zimbabwe.
non_fbis_09.53.15-23595-29	positive	The challenge now is to heal the deep  social divisions that exist within the country.
20011112_20.33.43-387-35	negative	We don't need al-Qaida terrorist attacks in this country to bring the government down in turmoil, create uncertainties in the business community, and frighten tourists and investors away.
20020318_20.48.00-11907-12	negative	But he told the nation that in spite of stiff opposition to the agrarian reforms from powerful Western countries, especially the country's former colonial power of Britain, he would press ahead to seize farms from whites and resettle blacks.
20020425_21.40.05-5224-3	negative	Of course, she knew who should learn a lesson from this situation, but she was playing games.
20011220_21.22.09-18839-26	neutral	The total volume of agricultural output during January-October 2001 increased 9.1% as compared with the corresponding period of 2000, including output by agricultural enterprises with all forms of ownership -- by 19.7%, and by private farms -- 3.2%.
20020128_20.46.06-8042-2	neutral	This is another dangerous signal of the leader of the Taiwanese authorities promoting "gradual Taiwan independence" and an attempt to split the motherland.
non_fbis_08.54.02-18235-3	positive	But that doesn't bother an increasing number of well-heeled  executives and celebrities willing to pay millions of dollars  and spend a few months training in exchange for a quick trip to  orbit.
20020314_20.40.44-29118-4	positive	After defending his "crown" to his last-ditch efforts, the veteran statesman, who bragged him a "young old man" with abundant reserves of energy to continue ruling Zimbabwe, has finally won the political boxing match against Tsvangirai, a more youthful opponent, who celebrated his 50th birthday on Sunday.
non_fbis_13.05.15-16517-18	neutral	In London, Brent crude oil opened 44 cents down from Thursday at  $24.60 US a barrel.
20011130_12.36.18-4189-21	neutral	The amount of greenhouse gases emitted by most developing nations in the past several decades only represents a small fraction of the total emission.
non_fbis_12.15.47-5091-14	neutral	An anomaly was detected on one of its joints several weeks ago,  but the Canadian engineers successfully bypassed the problem  area.
non_fbis_15.16.19-1897-12	neutral	Experts  believe that the shuttle will be unable to dock the ISS if the  Russian cargo ship is not tightly secured to the station.
