non_fbis_13.10.41-18948-7	negative	He hinted at a tougher policy against Mugabe,  saying that the European Union would review sanctions at an  upcoming summit meeting in Barcelona, Spain.
20011124_20.49.26-27556-2	positive	He told a news conference that Filippo Grandi, regional emergency coordinator for the UN High Commissioner for Refugees (UNHCR), had thanked Japan for its contribution to international efforts to aid the refugees.
temp_fbis_20.41.29-25820-4	positive	They say that these captives not only receive humanitarian treatment, their religious belief is also respected.
20020111_21.05.06-7601-29	neutral	Fourth is the contrast between the benchmark covenants' relative emissions standards and the Belgian Government's absolute restrictions on emissions within the framework of the Kyoto protocol.
non_fbis_06.25.38-22700-38	negative	``If they don't trust me with their needs, they don't get it,''  he says, with a sigh.
20020423_21.45.36-19604-15	neutral	According to Shakir, money laundering in the Arab world is "very minimal" but he said that Lebanon and Egypt are classified by international agencies as among the countries that have not taken necessary measures to combat this problem.
temp_fbis_20.36.23-26588-0	positive	Spanish premier, EU leader urge Russia to ratify Kyoto Protocol       Text of report by Spanish news agency Efe       Barcelona, 14 March: The current president of the EU, Jose Maria Aznar, and the president of the European Commission, Romano Prodi, have handed over a letter to Russian President Vladimir Putin in which they urge him to promote the ratification by Russia of the Kyoto Protocol on climate change.
2062610	neutral	From the new CNN.com: Casey Anthony's secret release #cnn ~http  
20010830_01.03.02-16670-6	positive	Taiwan is the only country in Asia that allows foreign laborers to enjoy the same salary levels as their local counterparts, which elevates its image in international society, Lin added.
20020507_17.55.10-20068-27	neutral	Apart from Hakam, other notable NGOs involved in the boycott are the Malaysian Trades Union Congress (MTUC), Suaram, Amesty International's Malaysian chapter, Jamaah Islah Malaysia (Jim) and Sisters in Islam (SIS).
20010907_01.55.54-27027-10	neutral	Monitors have been present in Macedonia for some years alongside European Union observers.
non_fbis_08.10.09-13801-17	neutral	Mr. Cavallo instituted the banking controls on Dec. 1 to stave  off a run on Argentina's banks.
254331661079150592	positive	@Aarononio I'm still at my school, stayed in the 6th form. But I see you got into the Brits!! Congrats Iil bro I'm proud :')
