140_ 29	neutral	and as i said in my review of the s330 , all of these digital cameras are easier to use with apple computers .
254_ 1	positive	the software that comes with it is amazing and the online service that comes free is really very neat. clean clear and well focused on over 95 % of all photos taken by a beginner .
185_ 18	negative	1 ) a spare battery would have been great .
213_ 1	positive	the price / performance looked just right .
124_ 4	neutral	i can take better pictures with this then my rebel ti with a good lens .
254_ 12	neutral	before they are sold out !
153_ 3	positive	the zennx will keep running for the price of a replacement battery , just like any other battery-powered appliance .
109_ 15	positive	i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase !
274_ 33	positive	in all fairness , customer reps are very nice , and they ( most of them ) try hard to answer your questions .
123_ 36	neutral	buy it for fun , for lack of processing , because you want to use iphoto , or whatever .
236_ 27	neutral	you will have a very expensive paperweight .
234_ 1	positive	honestly , i love this player .
123_ 39	negative	unfortunately , this digital moment-capturing device called the g3 sometimes captures the moment after the one you wanted .
208_ 26	negative	4 .the zen * stores * data files , but does not allow a folder structure nor does it allow documents to be opened or programs to be launched from its disk ( they must be copied to another hard drive to be launched ) .
231_ 6	positive	it 's very solidly built , and has a nice dense feel to it .
158_ 2	neutral	all of the zens use a standard notebook drive .
310_ 18	neutral	you can get weather , movies , horoscopes and more with a few clicks .
285_ 29	positive	- speakerphone
115_ 23	neutral	sure .
229_ 4	neutral	i do n't care how it looks and i always drive so the size is not important to me .
234_ 12	neutral	the only good thing about this whole process , is that im getting like a 34 dollar amount back , because of the price difference between when i bought it , and now .
184_ 3	positive	the zx boasts superior sound quality than the ipod , however it compromises a bit of the unit 's size in doing so .
297_ 8	neutral	so , i recomend it , but not for those that have any hearing troubles , or for those that like to talk a lot in crowded public places ( which is annoying , by the way . )
129_ 1	positive	i am very pleased with it so far .
290_ 10	neutral	of all these phones the motorolla and the sony ericsson phones are the smallest .
212_ 0	neutral	i recently bought the nomad jukebox zen xtra , and did n't even get as far as charging the battery .
193_ 0	neutral	i was going to get a 10gb ipod , but after looking at the 10 day warranty for ipod and www.ipodsdirtysecret.com ( battery lasts 18 months ;
116_ 38	positive	but at least youre starting with the most photorealistic images ive ever seen from a camera .
140_ 25	neutral	i have a 120 gb remote drive i use to store my digital images :
241_ 3	positive	i fell in love with this camera , it combines ease of use , with an immense amount of options and power .
189_ 3	positive	i have had no problem what-so-ever with this product .
170_ 16	negative	this is ridiculous .
302_ 2	neutral	but there are faceplates to replace it i guess ...
129_ 5	neutral	based on the cameras features and about dozen online reviews , this one seemed like the best all round deal .
290_ 1	neutral	my last phone was a samsung s105 which imo is superior and cheaper to this phone .
170_ 3	negative	the software is somewhat nice to look at , using it is not the easiest .
208_ 45	neutral	i am not associated with the company , i am not providing a url , but search for notmad and you should find it pretty easily .
177_ 0	neutral	originally i wanted the ipod .
288_ 7	positive	it has fm radio option and i can listen to music anytime .
208_ 56	neutral	the only creative software i am using is the device driver ( s ).
175_ 14	neutral	notmad worked right away after install and it is what i would like to see from the product .
138_ 5	neutral	so why lie about it ?
248_ 7	neutral	the store clerk concluded that the blurriness may be caused by shaking the camera slightly when i press the button , which is understandable since this camera is lighter than the other two models .
170_ 36	neutral	again had to remove the battery .
262_ 5	neutral	the shutter lag is on par with what i 've experienced with point and shoot 35mm and aps film cameras and the next frame advance is about a couple seconds using a high speed 12x 128mb compact flash card a salesperson recommended the high speed card since next frame advance speed was important to me - and it was only a few dollars more .
215_ 28	neutral	this is unnecessary with id3 tags but people who like to organize their music in folders will not like the zen as the audio files do not allow subfolders but rely on id3 tags .
166_ 3	positive	the eax settings are somewhat superfluous but not really a negative .
173_ 26	neutral	i was able to return it to the retailer where i bought it and got a replacement .
136_ 16	neutral	the compact flash is delicate and i hate to swap it in fear on the connetions ( camera and cf ) bending ( can lead to cf erros ) or losing it .
302_ 3	neutral	almost there .
182_ 21	positive	the headphone earbuds are average , so just use your regular pair instead .
225_ 12	neutral	i bought myself an rca mp3-cd player , and i 'm happy with that until a cheap , worthwhile mp3 player coomes out .
184_ 13	neutral	the less computer-saavy might find apple 's software a bit friendlier , though ( i use it at a friend 's house and it does do a lot more for you . )
123_ 33	neutral	not all the time , but often enough to be a real problem .
306_ 6	positive	it is extremely light and dissapears in your pocket .
243_ 1	neutral	but there are certain issues might be they are to me here - all of them are minor; not major ones though ,
252_ 6	neutral	i only wish you could get high quality tiff images at all resolutions , but does n't seem any of the buget cameras do .
251_ 2	positive	it takes excellent pics and is very easy to use , if you read the manual .
128_ 4	positive	the g3 looks like a work of art !
106_ 9	neutral	i expect the g3 will please me for years to come .
186_ 71	neutral	i am willing to overlook it 's problems to get superior sound quality and low price , although i feel the player has a lot of room for improvement .
312_ 3	positive	the design is sleek and the color screen has good resolution .
309_ 6	neutral	i have always known nokia to provide me with good games on their phones .
173_ 54	neutral	sometimes you skip past things or have to press it twice to select items .
224_ 32	neutral	it seems like movement , even small movement , causes skipping in playback and even the device freezing .
227_ 3	neutral	if you are planning to buy that player , do not !
197_ 7	positive	second , the "" automatic "" sync on creative lets you review the songs before it begins its transfer .
186_ 15	neutral	30gb is more than enough for most people .
207_ 6	positive	it was easy enough to remove the front plate , and there was only one way the battery could be inserted .
214_ 4	neutral	within months they stopped supporting the new mac os .
213_ 15	negative	like other reviewers , installation was hell .
310_ 19	neutral	the service deafults to showing the information associated with your billing zip code , but you can change the default and seach other areas while on the go .
144_ 8	neutral	yes the ipod is smaller , but not $ 200 worth , which is the premium you 'll pay for an equivalent capacity model .
285_ 15	neutral	thumbs down on that one .
186_ 1	positive	lots of flaws , but exceptional sound quality , hd size , and price make it a good buy .
148_ 5	positive	my two main requirements were longer battery life and lower price : i found both .
299_ 3	neutral	you do take your chances with this phone .
195_ 7	positive	the storage capacity is great for me --
144_ 4	positive	the xtra improves upon the zen nx with a larger , now-blue backlit screen , which is infinitely better .
282_ 29	neutral	battery life :
140_ 19	negative	i 've been bothered by blown-out highlights on the s330 , and the g3 seems to do only slightly better .
191_ 1	positive	it is an extremely cool gizmo .
182_ 8	positive	although the supplied software can be annoying at times , on whole it is excellent .
115_ 11	neutral	next time i set it at 100 and used the flash .
193_ 13	neutral	the player : it 's silver .
290_ 25	neutral	my girlfriend is paranoid when i am not around her and i just take a pic and send it to her on the spot so she can regain her sanity .
134_ 15	negative	the zoom lens unit feels fragile and it is worth buying a good camera bag if you are going put to carry it round a lot .
213_ 4	neutral	reading the reviews , it looks as though people really love this device for a month or two and then come to hate it .
162_ 19	negative	sure , it 's a little bigger than the ipod , but not by much .
227_ 43	neutral	the product manufacturer promised me 14 hours , and what i recieved was 6-8 .
145_ 2	positive	i chose this one because from what i read , it was the best deal for the money .
138_ 0	neutral	you see , i can 't rank the product since the merchant that amazon is collaborating with ( j and r camera . ) to bring us consumers better choices never sent me the product .
209_ 1	positive	now that i own it , however , i can 't imagine being without it !
164_ 1	neutral	my brother bought an ipod this past summer and my dad bought the original zen around the same time ..
151_ 8	negative	the face-plate , which pops out for the battery , pops open by itself every 10 minutes or so .
234_ 4	neutral	ok so i donno about what other people said , how the player breaks and stuff , and the headfone jack , fortunately that did not happen to me .
128_ 1	neutral	i was perfectly happy with my g2 , so why did i trade up to the g3 ?
236_ 15	neutral	in my case , the bill was $ 81 , about a third of what i paid for it .
243_ 15	neutral	i would rate this is 4.5 stars picture quality ; image size defined above are specific to nikon coolpix .
227_ 46	neutral	2 .
227_ 6	neutral	now getting back to this .
106_ 1	positive	advanced photobugs will find more creative control than imaginable .
292_ 4	neutral	here 's a hint : go to nokia.com and get their pc suite and a connection cable if you dont have irda or bluetooth .
274_ 7	neutral	the headset that comes with the phone has good sound volume but it hurts the ears like you cannot imagine !
143_ 0	positive	definetely a great camera .
271_ 3	positive	it 's size also makes it ideal for travel .
277_ 14	neutral	vibration was not even listed as a feature when i purchased this .
309_ 3	neutral	my sister has this series of phone and she loves the radio and headset .
258_ 17	positive	it really is an awesome camera that is hard to beat for general-to moderate snapping .
155_ 14	positive	all the buttons & neccessary lil ' gadgets are on the sides of the player which is nice for when you are holding it in the palm of your hand .
225_ 0	positive	sure , this thing is definitely more cost-effective than an ipod .
226_ 6	neutral	his i-pod can only play for a couple of hours with a fully recharging now .
155_ 5	neutral	after receiving my zen xtra 40gb mp3 player .. .
218_ 13	neutral	looking at the glowing reviews from people that have had this for a week or two , i kind of wish people would wait until they 've had a product a little while to review it .
163_ 4	neutral	bummer as it has great sound quality .
196_ 0	neutral	simply not as friendly for functional as an ipod .
252_ 5	neutral	did buy a 256mb compact flash , it holds a lot of pics at any resolution .
268_ 1	neutral	my room is so dark and when i tried taking pics of it with my old camera , they came out black , but with this , they look the same in the picture as in real life .
234_ 7	neutral	if that one fails too , and i hope if it does , let it happen in the first 90 days , not later , cuz thats the warranty .
302_ 6	neutral	this is almost it but not quite but the price was right .
208_ 55	neutral	i am using notmad explorer to move music & playlists between the zen & my computer .
220_ 15	neutral	that is , if a folder on your computer called "" mp3 "" has slayer ( thrash metal ) , stravinsky ( classical ) , and ice cube ( rap ) in it , you will only be able to play the contents of that folder by searching for the artists or genres manually .
274_ 31	negative	apparently , t-mobile is heavily back-logged and can 't keep up with demands .
123_ 37	neutral	but do not assume , as i did , that the g3 has the same ability as [ your current film camera ] to stop the moment you choose .
237_ 7	neutral	and then it just froze and now i 'm out $ 300 for their piece of junk .
151_ 2	neutral	on my relatively new computer ( p4 with windows xp and usb 2.0 ) , the os complained about the installation of the drivers .
110_ 5	neutral	i know there are five mp cameras out there , but this thing does just fine for me .
308_ 3	neutral	and how can i do that ... .
247_ 11	neutral	i highly recommend the accessory kit , which provides you with everything else you need :
173_ 59	neutral	the software will convert your cd 's to mp3 and put them on the player as well as your hard disk if you want it to .
200_ 18	neutral	so consider what you 're going to use the device for .
227_ 13	positive	huge storage space , i loaded my entire collection of music , which isnt that much , 400 songs , and still have 26 gb , out of the 28 provided to you .
159_ 14	positive	sound quality was the same between the two , but the zen did have more sound adjustments with the normal eax features .
306_ 4	positive	it has a classic design yet looks hip .
129_ 17	positive	it is very simple to import via iphoto 2 and then move them to photoshop .
227_ 12	neutral	2 .
146_ 11	neutral	otherwise , be smart , save the cash .
231_ 28	neutral	the software and design are geared towards enhancing the music experience .
220_ 4	neutral	these models now ship with creative 's mediasource program , which allows you to highlight the files on your computer that you want to add to your zen xtra , click a button , and transfer it straight to your player .
226_ 5	neutral	my friend has an i-pod for about 2 years and the battery has so so messed up .
236_ 28	neutral	there are not a lot of good options out there .
140_ 31	neutral	but make sure to buy a tripod and separate flash unit at the same time : you 'll see the difference in your photos immediately .
263_ 1	positive	i am impressed with how easy this camera is to use .
136_ 22	neutral	that 's what i did and hopes this helps .
175_ 6	neutral	sure enough there is no such ability .
195_ 39	positive	the bottom line for me is that i am very happy with this product .
115_ 18	neutral	you do n't need the extra resolution or the cost .
186_ 5	positive	transfer through windows explorer - windows recognizes the jukebox as an additional hard disk , so it allows you to simply drag and drop files from windows explorer to a folder for the nomad .
136_ 10	neutral	i 've have n't heard about a diagnos or fix for this .
171_ 7	positive	compared to musicmatch , the software has a better filing system and easier to use .
