263_ 5	negative	the OS is abit confusing at 1st, but within a few days you will pass this learning curve!
281_ 9	negative	Being a past Norton customer, I consider this to be a slap to my face.
132_ 322	neutral	 The ipod itself is very pleasing to hold with its smooth surfaces.
183_ 0	neutral	Two days after writing this review below, I want to remove another two stars.
132_ 224	neutral	 I am a total iPod addict.
218_ 0	neutral	I already own the Creative Nomad Zen, the 30 gig version.
214_ 10	neutral	So I decided on the black one.
201_ 5	positive	Whichever it may be, I'm happy I've made this purchase.
150_ 2	positive	It's easy to install the security on this product but Linksys doesn't do a good job of explaining why its important.
132_ 237	neutral	Perhaps over time I will fill it up, but with almost 250 songs on my iPod now and less than 1GB used, I have a long way to go.
0_ 46	neutral	Camera has been treated with kid gloves since day one.
190_ 2	neutral	Mp3 players are like a blessing and a curse for people like me.
320_ 7	neutral	I did not use the Rnis.exe, since I have WinFax Pro on my system. I did not touch the Windows Registry, for the same reason.
233_ 21	positive	Its a tough one this unless you wanna drive your car over it.
132_ 451	neutral	 held out for the 4th generation 20GB iPod when I heard that it was coming equiped with the 'click wheel', that had previously only been available for the iPod 'mini'.
298_ 3	negative	We constantly got "Windows Virtual Memory Low" error messages popping up follwed by ridiculous slowdowns and/or crashes.
132_ 382	neutral	 It's well worth it, the mp3s do in fact sound better.
223_ 9	neutral	This appears to prevent the lockup issue.
83_ 7	neutral	I am SO thankful I got that advice when I did because I had the Diaper Genie on my registry aforementioned to her warning.
287_ 11	negative	The biggest problem is the installation.
35_ 9	negative	The auto color balance is often fooled by dense clouds.
269_ 0	positive	I really love this phone...
220_ 1	neutral	these are the things I was curious about when I was shopping around.
64_ 0	neutral	We just had a baby and were debating getting either this product or the Diaper genie and this is what sold us on this product
35_ 8	negative	For example, in auto mode you can't use the flash redeye reduction, you must be in manual mode for that.
46_ 2	neutral	Really like them,  they work well and the macro function of the 2500 really helps my Ebay biz.
60_ 0	neutral	A MUST HAVE!
0_ 153	positive	another thing i like about this camera is the way that you can swap colors around and the impressive video quality i would advise any person in the market for a camera to pay the little extra on the hefty $500 price tag and get a quality camera.
103_ 3	positive	The Hitachi has plenty of power, runs smooth, and cuts effortlessly through maple (with Freud bits!)
138_ 19	neutral	But if you did not know what to do, you might have to call Linksys.
250_ 7	neutral	All you need to do is to choose your "phone card" contact and then "send touch tone" and choose the contact.
174_ 16	neutral	Easy and a basic step, but if you have suspicious teenae computer geeks in the area, maybe not enough for privacy.
211_ 13	neutral	It's doesn't have a scroll wheel, but it has a strip!
317_ 1	negative	I'm currently using a Sony Vaio S-150 (which I bought at the end of this past August), and it takes about five minutes just to boot the system - in fact, I've taken to just hibernating, rather than shutting down completely.
137_ 5	positive	Awesome for the newbie, though I personally like to fasten every bolt myself.
303_ 0	neutral	Product is OK; however, despite the fact that I followed the rebate instructions explicitly, I am being denied the rebate because the processing agency incorrectly claims I did not send in proof of ownership of a previous product.
132_ 355	negative	The biggest red flag for me was the fact that although my cousin's player was relatively new, it was riddled with scratches.
215_ 15	positive	BUY THE ZEN!"
116_ 0	positive	I love the performance and features of this router.
233_ 35	negative	The battery life of this phone is at most 2 days and at least one day at excessive use.
222_ 9	positive	t simply the best player on the market for a really low price, so why look anywhere else?
225_ 13	neutral	When mine died, I had 1,022 songs loaded, but only used a little over 2gb of space.
130_ 0	positive	This is a fantastic tool to use.
113_ 5	positive	The handles make it very comfortable to use and I experience little vibration.
287_ 5	neutral	It has saved my system on more than one occasion, and makes disc clean up a snap.
241_ 11	positive	If you love your cell phone games or changing your ring tones everyday, Nokia beats everyone else.
0_ 42	positive	All I have to say is that the pics I get with my SD500 are both rich and color and high in detail, the user interface is awesome, the battery charger is tiny and super light and SD cards are relatively cheap and getting cheaper all the time.
196_ 14	positive	Also, I am quite partial to the Creative MediaSource Organizer and Player software, which I had with Audigy ZS sound card originally; it is definitely an added plus.
215_ 7	positive	I thought the FM radio would not see much use with so many tracks avaiable to me, but its great for tuning in to TV programs at the gym while on the treadmill, concerts and programs being simulcast, NPR, and on and on.
132_ 172	neutral	You can use it to listen to music or audio books, either downloaded via the internet or added to your music library using your CD drive.
132_ 3	negative	 There isn't much features on the iPod at all, except games.
0_ 33	neutral	I can't comment on most of the manual features of the camera because I've been shooting in auto mode, but based on my experience so far, manual adjustment, while available, won't be needed for most of the shots I will be taking.
132_ 330	neutral	 You can put songs in multiple categories, which is great.!
132_ 95	positive	Decent Battery-- On the average size, but the 40GB comes with a dock.
67_ 5	negative	But, sometimes, if the Champ is too full, the flip handle won't function.
289_ 4	neutral	I may not be a computer expert but I am perfectly capable of following detailed instructions, and Norton just makes life way too hard.
132_ 319	neutral	 Let me say first, that I have always been a hater of all things Apple.
191_ 12	positive	The screen is clear and readable, and the touch pad works very well, it took me less than a day to get the hang of it, and now I like it better than having to click buttons or fiddle with a separate volume control.
146_ 14	positive	The quality is significant and you'll be very happy from saving time and the headache.
97_ 7	neutral	You will be sorry after a few months.
0_ 88	neutral	shake it a little bit and it'l change the background color. if you've holding the camera horizontally, then it will show the time and date horizontally.
132_ 89	negative	 One caveat I have is that I understand the iPod does not save the photos in such a way that the quality of the image is preserved.
190_ 25	neutral	If you do not care about sound/music quality in the least, and don't mind the ability to store 800 songs less than promised, get the creative zen micro.
106_ 3	neutral	Hitachi includes a 1/2" straight cutting bit in the package, and I used this to cut out my table.
69_ 5	neutral	I had no problem with stuck diapers and if I did it wasn't often but I can see how it would happen.
142_ 8	positive	I've since gotten the Linksys Modem (BEFCMU10) and stacked it with the WRT54G router and it works fantastic!!!
187_ 25	negative	Second might be a problem I might have with my PC but not too sure, when the player is connected on the USB and I start playing on it and also using the windows explorer, it sometimes pauses by itself and tries to synchronise with the PC during play, which is a bit irritating.
166_ 8	neutral	Why own one of these things then, especially if you only have one computer.
132_ 91	neutral	Here's the TRUTH in short....
214_ 4	neutral	So I went to www.playforsure.com to see what devices were compatible with various downloading services.
256_ 1	positive	UPSIDE: This one, like most Nokias, receives a consistently strong signal (I've tried some Samsung and Sony Ericsson models which were very weak on the reception front).
257_ 4	neutral	Motorola's phones are well engineered but have an user interface that reflects very poorly on what is otherwise an excellent engineering company.
200_ 0	negative	It had issues right off the bat, with freezing up, staying in 'SHUTTING DOWN' mode, and just not functioning very well in general.
132_ 529	neutral	 However, having said that, this could just be because I haven't really had enough time to experience it in its entirety.
75_ 0	positive	The diaper champ turns the smelly diaper into "what diaper smell" in less time than that.
224_ 13	neutral	This time I'm going to get something a little more reliable - an iPod mini.
214_ 19	neutral	Napster 2 Go also allows members to view other members play lists in different genres, so if you are looking for lots of songs and you don't want to search for them endless, you can just grab them from other members play lists. !
249_ 1	neutral	One minute with the salesman and I was sold.
213_ 6	positive	+looks snazzy +smaller than a pack of smokes - easily transported +ac charger included as well as a hardshell that comes with a clip and a stand adapter +USB cable !
173_ 0	neutral	I'm going to be moving soon.
131_ 18	positive	For the hobbiest, it's probably a nice buy.
132_ 187	neutral	About 1/2 inch thick, with the face dimensions the size of a credit card, it can be slipped in a pocket or carried easily in the han!d.
243_ 0	neutral	*****DO NOT BUY THIS PHONE***** ****READ WHY****
132_ 441	negative	Hard drive screws up occasionally
0_ 1	positive	It has an exterior design that combines form and function more elegantly than any point-and-shoot we've ever tested.
132_ 344	neutral	    If you can get past this little flaw, give the ipod 5 stars, because everything else about it is pretty much perfect.
72_ 0	positive	I love this product!
187_ 20	positive	The songs recorded with FM are as good as the original signal.
221_ 24	neutral	And the price?
