non_fbis_12.22.23-26451-24	neutral	Meanwhile, as many as 100,000 soldiers and police officers have  already voted under the watchful eye of their commanders and far  from the gaze of any outside observers, Mr. Matchaba-Hove said.
20011229_21.12.57-28994-5	positive	The lower the living standards of those polled, the less frequently they spoke in support of the US campaign, Tomenko said.
20011224_21.09.23-6361-21	neutral	The ship then went on to Mauritius to pick up the sugar and left on November 20 to transport it to Britain.
temp_fbis_22.34.58-23977-0	neutral	BEIJING, April 11 (AFP) - China on Thursday slammed increasingly close ties between the United States and Taiwan, demanding an end to official exchanges between the two and to US weapons sales.
non_fbis_08.12.40-1611-3	neutral	Bush suspended U.S. entry privileges for Mugabe, his family or  senior members of his government.
temp_fbis_20.41.29-25820-24	neutral	They are not allowed to look around, talk, hear, or touch anything; nor are they allowed to move freely.
non_fbis_10.12.58-29108-27	neutral	Now  O'Keefe's is to fix the space station."
temp_fbis_21.10.31-12974-37	negative	Models are flawed, including the greenhouse model, and the only thing that is beyond dispute is that warming is underway, and the contribution of human beings to this alarming condition is very large, possible at least 30 percent.
non_fbis_11.08.55-4179-5	positive	``It's an excellent location,'' she said.
20020223_20.53.55-17301-2	positive	Hong Kong media also generally maintained a positive stance toward the trip and welcomed the visit.
non_fbis_06.44.52-19992-57	neutral	"If you do your job right," says Campion, 32, of Kansas City,  Mo., "nothing is scheduled to happen."
non_fbis_12.08.27-27397-31	negative	Although Mr. Tsvangirai said the people were "seething with  anger," Mr. Tsvangirai ruled out open rebellion.
20020121_21.31.10-15710-11	neutral	Accompanying the president at the Khrunichev centre are Deputy Prime Minister Ilya Klebanov, deputy chief of Presidential Administration, Sergey Prikhodko; chief of staff, Anatoliy Kvashnin, presidential assistant, Yevgeniy Shaposhnikov, Deputy Defence Minister Aleksey Moskovskiy and Space Forces Commander Anatoliy Perminov.
non_fbis_08.35.40-23372-34	negative	But that's exactly  what Duhalde most lacks.
20010907_00.16.28-8800-24	neutral	What, however, was most remarkable in the conferences in New York and Genoa, was the fact that most decisions made, were based on interests and tastes of particular groups [lobbies].
20020415_21.33.22-7140-33	negative	However, it could be better.
20011218_21.00.30-21204-15	positive	Unconditional Support
20020124_20.24.37-12857-1	negative	The so-called US-led campaign against terrorism is inspiring opportunistic attacks on civil liberties around the world, 'Human Rights Watch' warned in its annual global survey released recently.
20020225_21.00.49-23712-2	neutral	It cannot integrate itself into the region, it is an alien seedling and, thus, it is better to isolate and fortify itself as a lowly outpost.
non_fbis_06.44.52-19992-154	neutral	Within a couple months, he says, the operation will move to  another part of Guantanamo called Radio Range, where utilities  are more readily available and cells will have cots, air  conditioning and toilets.
temp_fbis_21.31.56-18015-3	neutral	Referring to the difficult period the venezuelan nation went through in the past week, President Chavez said the anti-democractic attempts to topple his government failed with the help of the Almighty God and the people.
20020509_22.11.01-7259-3	neutral	Research newly released by the WHO indicates that societies with a heavy burden of disease tend to experience a multiplicity of severe impediments to economic progress especially to sustainable economic growth.
20010926_22.11.18-10696-3	negative	The businessman said he turned down an offer of a 200,000 dollar commission for the sale.
temp_fbis_21.03.47-22424-51	neutral	However, Taiwan announcing independence to the outside world is a variable.
20020320_20.36.59-7133-50	neutral	Indonesia can exploit this principle of the Space Treaty 1967.
20010916_21.24.32-9824-16	neutral	The LTTE staged a kamikaze-style assault on a merchant vessel in June last year.
non_fbis_13.05.15-16517-44	positive	The air force chief, Gen. Regulo Anselmi, said the military  urged Chavez on Wednesday to negotiate.
20020117_21.05.07-9115-8	neutral	Koizumi made a weeklong tour of the Philippines, Malaysia, Thailand, Indonesia and Singapore earlier in the month.
non_fbis_06.56.31-3120-20	neutral	Information Minister Jonathan Moyo said the result was a blow to  British Prime Minister Tony Blair whom Mugabe accuses of  sponsoring Tsvangirai.
non_fbis_08.40.56-18707-7	neutral	However, U.S. officials also note that some of the rebels do not  have international ties, and they have criticized Russian  military and police abuse of civilians -- although the criticism  was toned down greatly after Russia became an enthusiastic  member of the anti-terrorist coalition, sharing intelligence  information, opening its airspace to humanitarian flights and  giving a green light to U.S. military deployment in Central  Asia.
non_fbis_15.08.17-13301-5	neutral	Russia pioneered space  tourism in April, 2001, when the Californian millionaire Denis  Tito was taken to the ISS for a ten-day space trip.
20020125_20.20.40-16093-1	neutral	At a joint news conference with Annan, interim Afghan leader Hamid Karzai read out the members of the commission, which he described as "the most important task for the interim administration and for the United Nations".
20020421_21.33.09-24778-3	neutral	During the talks, also developments about the Middle East peace process will be evaluated and Cem will hold bilateral contacts with foreign ministers of some of the participating countries on the Middle East dispute.
non_fbis_12.30.38-25095-4	neutral	He flew onboard the  Space Shuttle Columbia in 1992.
non_fbis_08.09.29-13319-5	negative	Argentina, with widening budget deficits, is heavily indebted to  foreign lenders and is battling to prevent more defaults.
20020205_20.21.49-25548-8	neutral	For the countries that regard the three countries as friends or not evil, they are considered to be enemies of the United States.
non_fbis_08.01.38-4843-30	negative	And some argue that  both the Clinton and Bush administrations should have acted  sooner to steer Argentina away from its doomed efforts to defend  a 1-to-1 peg of its peso to the dollar.
20020201_20.45.53-22539-32	neutral	"There is virtually no more room; work needs to be done on making the place bigger and better," a Department of Defense spokesman announced.
20011113_20.27.12-885-28	negative	How could the United States be asked to do such a thing if Argentina was unable to show a modicum of internal political discipline in advance?
20020205_20.23.27-26526-2	neutral	No one was injured, and the fighting stopped when local authorities intervened, Jan told AFP.
non_fbis_08.54.02-18235-31	neutral	Modern barnstormers
temp_fbis_21.50.57-15245-26	negative	Finally, America prescribes liberal democracy for others yet fails itself to accord any value to democratic principles in the world.
non_fbis_08.03.23-18607-30	negative	In the face of lobbying  from coal companies and utilities, Mr. Bush abandoned a campaign  pledge last March to control the four plant emissions together  and has shown no signs of reconsidering that idea.
20020118_21.16.16-1134-8	neutral	A four-member International Red Cross team flew into the US navy base on Cuban soil on Thursday and was due to begin interviewing detainees later Friday.
non_fbis_06.12.31-26764-18	neutral	If this is  the case, Rice could have elaborated more precise criteria for  membership in the "axis of evil," by establishing more clearly  the connection between the nature of the regime and the  acquisition of weapons of mass destruction.
non_fbis_06.44.52-19992-91	neutral	"In the beginning, they were very unsure," says Carrico.
20020304_20.42.01-25605-9	negative	In his report, the UN human rights rapporteur also interfered in Iran's internal affairs.
20020326_21.07.32-24343-11	neutral	At the rear of the spaceship is the propulsion capsule to provide thrust to the spaceship in orbital control and return to earth.
temp_fbis_20.41.29-25820-36	neutral	Therefore, on the issue of defining these prisoners' "status," the United States must test the attitudes of the international community, especially the attitudes of European countries.
20020122_20.32.22-8496-3	negative	Criticism From the Red Cross
20011111_20.41.07-12494-25	neutral	The WTO claims that it wants to protect the environment.
non_fbis_04.33.07-17094-20	negative	The government, sensing murmurs about revolt, put the army on  full alert, deployed troops in key townships and the police set  up roadblocks on the main roads into Harare to stop and search  vehicles for weapons.
non_fbis_12.07.16-6586-12	positive	He has reportedly suggested Argentina will have to declare a  moratorium on payments on its crushing debt load and has vowed  to leave in place a key economic law pegging the Argentine peso  to the U.S. dollar.
non_fbis_10.03.26-15373-10	neutral	But curbs on CO 2 mean curbs on burning coal, oil, and natural  gas - the fuels of booming economies.
20011130_12.36.18-4189-23	neutral	Furthermore, on a per capita basis, emissions by developing nations are also far less than that by industrialized nations.
20020331_21.11.01-23492-8	positive	The pressing matter of the moment is that Israel and Palestine should both exercise maximum restraint and adopt concrete measures to stop the conflict immediately and create conditions for resumption of the peace talks, Tang said.
non_fbis_12.44.14-20223-2	negative	Well, heaven without the 72 virgins.
20020316_20.25.51-11532-14	neutral	Earlier, Israel had launched fierce assaults on Palestinian targets in the Gaza Strip and West Bank areas.
20020118_21.16.16-1134-5	neutral	London insists it supports US reassurances that the men are being treated humanely, although there has also been criticism here over why it was taking diplomats so long to see the men.
20020415_21.33.22-7140-40	neutral	Dervis came together with Greek Development Minister Akis Tsokhatzopoulos following the opening of the ceremony.
20020507_22.11.06-28210-28	neutral	"The international community can support us so far, but it can never remove the shackles of repression," he said.
20011007_03.17.23-6711-34	neutral	The Japanese aerospace industry has an ambitious plan to explore the planets.
non_fbis_08.09.29-13319-25	neutral	The text of the  speech said the resignation was to "assure the peace."
20020204_20.38.59-25700-20	neutral	Dick Gephardt, the Democratic leader in the House of Representatives, and Tom Daschle, the Democratic leader in the Senate, have attempted the impossible feat of "setting partisan attitudes aside and supporting our President 100 percent in the war on terrorism," while at the same time trying to criticize economic and social policy.
20020301_20.57.02-23111-10	negative	The United States is indeed the ring leader and empire of evil, which perpetrates spiteful conduct of all kinds worldwide.
20011208_20.31.54-28680-6	negative	Despite the opposition, Bush went it alone.
20020316_20.37.48-18053-2	neutral	Khumalo said Nigerian President Olusegun Obasanjo would also attend the talks, which would culminate on Tuesday when the two met Australian Prime Minister John Howard in London.
