724	negative	This is hypocrisy from David Cameron % not that long ago his policy commission was actively pushing for the complete deregulation of the mortgage market.
1040	neutral	I have been the member of Rajya Sabha from Madhya Pradesh for last three years and this state is not new for me,
405	neutral	In the event of non-compliance with the above decisions, SADC shall in collaboration with the African Union and the United Nations consider other options to restore constitutional normalcy,
812	neutral	by William A Fleckenstein that his policy of keeping rates too low for too long inflated the housing bubble. The collapse in the US subprime-mortgage market led to about $1.2 trillion in write-downs and the bankruptcy of Lehman Brothers Holdings Inc. Given the decoupling of monetary policy from long-term mortgage rates, accelerating the path of monetary tightening that the Fed pursued in 2004-2005 could not have prevented the housing bubble,
1007	positive	As far as I am concerned the National Anthem should stay exactly as it is, which is fine. 'Secondly, those lines are so utterly banal that even an 11-year-old would disown them. 'I am perfectly happy to be British and perfectly happy with the National Anthem as it is. I certainly don't aspire to rewrite anything.
1479	neutral	President Emil Boc made a briefing connected with the stage of the discussions with IMF, the European Commission and the World Bank. It is an accelerated agenda of the discussions, and the president emphasized the preventive character of the loan meant to counter the effects of the world economic crisis,
408	neutral	Every day it becomes clearer that the Durban Review Conference is not about combating racism, but about promoting anti- Israel and anti-Semitic propaganda within the framework of the United Nations. The Obama administration and Secretary of State Hillary Clinton deserve praise for sending a strong warning signal to the UN. Unfortunately, the efforts by the U.S. administration to ameliorate this process have not succeeded,
316	neutral	Is patriotism something you like only when it is brandished by Barack Obama?
953	neutral	In the case of Zimbabwe, it is important to note that we would need to do a lot in terms of fully repaying what we owe the IMF, the World Bank and the African Development Bank,
561	neutral	I have not made any decision about joining the BJP or merging my party with BJP. In return (of support), I neither want any seat (in the Lok Sabha polls) nor do I want to reach any understanding,
1383	neutral	Today's failed gilt auction should be of real concern to everyone. 'It is too early to say, but the risk is that at some point the Government will not be able to fund its huge debts, and that could push up interest rates for families and businesses at the worst possible time. 'The fact that the Government cannot sell its debt the day after the Bank of England Governor warned about too much borrowing vindicates the argument the Conservatives have made about the dangers of Labour's debt crisis.
740	neutral	Submitting to Hamas' demands would have dealt a mortal blow to moderate elements in the Palestinian Authority and the entire Middle East, while the extremists would have been greatly strengthened,
1309	neutral	 either this guy committed perjury on behalf of his client, Dr. Aribert Heim, or Ruediger Heim,
844	neutral	It [JLP] will be disappointed that profits are down so much, but M&S is going to be way down. John Lewis still has pricing power and is one of the few retailers that has.
780	neutral	Ukraine has cancelled its visa regime with EU member states, the United States, Japan and Switzerland,
591	neutral	Since June 2003, the European Union only allows imports of chilli products which have been tested and are certified to be free from contamination by the Sudan 1 dye. In addition, Member States are obliged to carry out surveillance of the products on the market. This system has proved its worth as since its introduction, several hundred contaminated products have been found on the market or at our borders, and have been recalled and destroyed.
402	neutral	This is in addition to the five million pounds (7.2 million dollars) that we have already given directly to the African Union for AMISOM,
1093	neutral	I wish that the year 1388 be the year of peace, happiness and prosperity for all Afghans. A large pole adorned with colourful flags was then hoisted-a key moment broadcast live on television during which some believe prayers can be answered and miracles happen. Many of the estimated 10,000 people who packed their shrine for the event told AFP they would pray for peace. Others like Ahmad Shah asked for good health or prosperity. I wished that my business would improve. I believe in Ali's miracles,
831	neutral	Our message to Abu Sayyaf is: Please spare and release Mary Jean, Eugenio and Andreas,
1112	neutral	I arrived in Indian Wells earlier this week and I am eager to get back out on court,
1245	neutral	We will continue to be surprised on the bearish side by the data that's coming out - this keeps the demand deterioration argument very much alive, and pushes the OPEC production cuts to the backburner, precluding OPEC from becoming a significant force in this market,
502	neutral	I like to win, to attack. My tactics therefore next weekend in Ofterswang and afterwards in the World Cup finals in Are will be to attack,
1196	neutral	Government policy is that servicemen have a priority within the NHS and I would hope that managers remind themselves of that.
1379	negative	We know from the Bank of England minutes that it plans to buy gilts - it is all about the details of that strategy, but it is not a positive for sterling one way or another,
370	neutral	We have tremendous confidence in Secretary Geithner , and we are working with the committees of jurisdiction in order to get nominees both up to Capitol Hill and through the process of getting them into government,
988	neutral	It is inevitable that this verdict will be compared to the acquittal of Ramush Haradinaj. This will additionally strengthen the impression about the Hague tribunal's double standards,
545	neutral	We certainly believe South Africa has decided not to give a visa to His Holiness the Dalai Lama under pressure from the Chinese government,
